id,name,artist,artist_id,album,popularity,duration_ms,explicit,release_date
6Kh6DWuPjADgyeXv2C725q,カントリー・ロード,広橋真紀子,4ws2inM1n8fx4JijwRqHzS,ジブリ・コレクション,46,342293,0,2011-07-29
1pGiZ76TOlctgVyTy34Smk,Xe Đạp,Thùy Chi,0l3YAI1xmZKCZBzduST5ft,The Best Of Thùy Chi 3,39,284238,0,2017-05-31
3iwTfmndQd0KuwGYnLmf6W,Country Boy (You Got Your Feet In L.A.) - Live,Glen Campbell,59hLmB5DrdihCYtNeFeW1U,Country Boy (You Got Your Feet In L.A.) [Live],0,186960,0,2010-06-04
7jjNmf8Toc6ZkxxCR73Zsg,Cưới Vợ Miền Tây,Huỳnh James,1Vc9oJC8vSXfirygPAL2Du,Cưới Vợ Miền Tây,34,218222,0,2022-11-17
4pvb0WLRcMtbPGmtejJJ6y,exile (feat. Bon Iver),Taylor Swift,06HL4z0CvFAxyc27GXpf02,folklore,81,285634,0,2020-07-24
3hUxzQpSfdDqwM3ZTFQY0K,august,Taylor Swift,06HL4z0CvFAxyc27GXpf02,folklore,86,261922,0,2020-07-24
0eFQWVz0qIxDOvhLpZ40P7,the lakes - bonus track,Taylor Swift,06HL4z0CvFAxyc27GXpf02,folklore (deluxe version),67,211813,0,2020-08-18
6ZBC5GcPQERLwI4IMDHXIY,Folk for Punjab,Anmol Gagan Maan,0FGUq23Ku8rmR1rrRHhWSa,Folk for Punjab,0,382016,0,2021-08-05
1MgV7FIyNxIG7WzMRJV5HC,my tears ricochet,Taylor Swift,06HL4z0CvFAxyc27GXpf02,folklore,82,255893,0,2020-07-24
4R2kfaDFhslZEMJqAFNpdd,cardigan,Taylor Swift,06HL4z0CvFAxyc27GXpf02,folklore,86,239560,0,2020-07-24
3MidJ5NmSuxsG0Ak9wGAYc,Analogue,Folk Bitch Trio,26jdbJyBkpr6LivDYvKp2r,Analogue/I Heard,45,226164,0,2023-06-01
0p2muH1RmATbD5SRSbqAHf,Want Want - Live From Newport Folk Festival / 2023,Maggie Rogers,4NZvixzsSefsNiIqXn0NDe,Want Want (Live From Newport Folk Festival / 2023),0,287128,0,2023-11-10
3oGVx9RBmiYGv5ZCecWLkx,Forever Winter (Taylor's Version) (From The Vault),Taylor Swift,06HL4z0CvFAxyc27GXpf02,Red (Taylor's Version),64,263533,0,2021-11-12
4vZyF6Qr1YoJAC1guGWJB1,"Ack Värmeland, du sköna (Swedish folk song) (arr. for Guitar by Mattias Schulstad)",David Frost,3qjM5wZcTHcHFf1c8ihjWr,"Ack Värmeland, du sköna (Swedish folk song) (arr. for Guitar by Mattias Schulstad)",0,109085,0,2024-02-23
0ZNU020wNYvgW84iljPkPP,mirrorball,Taylor Swift,06HL4z0CvFAxyc27GXpf02,folklore,75,208977,0,2020-07-24
2fcYfbgSqHDyYoSL2l0Osb,Folk,Hideyuki Hashimoto,3NMfMCA11Xo7RUc91o64Og,opus,32,205973,0,2023-08-18
20pX37fzVaoxukKO0fO42q,Родопски звън 2024,Vievska folk grupa,4l2DBGO8M3iEGsEVQzI1ph,Родопски звън 2024,0,328605,0,2024-09-25
19R61PjvSy7OBegMWOu6rF,Folk,Hideyuki Hashimoto,3NMfMCA11Xo7RUc91o64Og,Folk,19,203360,0,2021-07-23
2NmsngXHeC1GQ9wWrzhOMf,illicit affairs,Taylor Swift,06HL4z0CvFAxyc27GXpf02,folklore,77,190898,0,2020-07-24
1BjqQ4UYfV9bOKOvaLxi6n,褪黑素,江皓南,6088UyUnNFQQdFCkNDxbyS,褪黑素,52,280540,0,2024-10-25
3DwQ7AH3xGD9h65ezslm6q,Enter Sandman - Remastered 2021,Metallica,2ye2Wgw4gimLv2eAKyk1NB,Metallica (Remastered Deluxe Box Set),84,331560,0,2021-09-10
1GoQ5EQ0ZNURRrJKdThflm,METAL PIPE FALLING,Blanco y Sancho,7AuwIissSkefApTBF086JE,METAL PIPE FALLING,44,84750,0,2023-05-20
2DBqSvZrORNxqFsL0B5dlP,St. Anger,Metallica,2ye2Wgw4gimLv2eAKyk1NB,St. Anger,0,354960,0,2003-01-01
2MuWTIM3b0YEAskbeeFE1i,Master Of Puppets,Metallica,2ye2Wgw4gimLv2eAKyk1NB,Master Of Puppets (Remastered),80,515386,0,1986-03-03
1UmrspTydTpzWfYqWUKXLg,Heavy Metal Lover,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Born This Way (International Special Edition Version),69,252546,0,2011-05-23
50ZgS2l0IZGBuQcb7swuEd,Metalmania,Robertinho De Recife,1EkJItZB7SZ49NabsOINPX,Metalmania,0,450005,0,2015-06-12
3UULkHdmLDqBDPmBYltoRE,Metalingus,Alter Bridge,4DWX7u8BV0vZIQSpJQQDWU,One Day Remains,70,259959,0,2004-08-10
6QAsrXPnMSXIbV0yEJHlEX,Nothing Else Matters - Remastered 2021,Metallica,2ye2Wgw4gimLv2eAKyk1NB,Metallica (Remastered Deluxe Box Set),83,388733,0,2021-09-10
7oMA3qs18aC69Cr4k6EAyn,Metalingus (Edge's WWE Theme),"It Lives, It Breathes",1f8UNsnIHYgguJ6n7FDS9K,Metalingus (Edge's WWE Theme),57,296000,0,2018-04-02
