artist_id,genres,artist_popularity,artist_followers
3tYJfCciy07wTBt2HpjCQw,chillstep,43,109033
5CzyKbVKTa3PoejIdZSGGv,,14,248
3EG7jJRApBO7i8o94Dw1Uh,electronica,39,182671
7qgorhDacy1FRz5HkAhDtu,,52,249583
180fUTOBitzZ8KzsVqjFcn,,7,69
1UiwiBUiZQ4JkuSNnlSOmB,,6,946
03EyXWemNEgYc16EqjnDAk,vinahouse,29,412
3ZBV0gUEnRaiAuadgsmXPl,,17,6006
157L8iTHgbdrKVxdQEXluh,,61,340495
5w5GmmycbK6p9OXux5sNnb,,22,7113
6Ue0BbbTOdBjcO4QZB5sio,v-pop|vietnam indie,45,3156
7FyOkfwL9KmBD0Fe4XGO7F,dembow,39,99
3tuxyjTQrEDsF0pV0WbqyR,v-pop,42,20639
38sMetc66ave6OQSpl1BW3,big room,29,479
40HDiLfKm0tXk2FxlJx6aO,,56,166320
0NCnhl8kjlsN30Nn6hQV7i,bass music,0,3
4QYhpE0EMCIX39qqdAPide,,0,45
1feoGrmmD8QmNqtK2Gdwy8,,53,408567
0piYfXrIl86hNaDZOhIABZ,bass music,4,113
0TZKKZG6WHl2aVFPDtND82,vietnamese hip hop|v-pop|vinahouse,27,71453
1UjXIZ9QfOoOoatRNwCF0u,breakbeat,0,4
79a4DDvkxUJy73sCJqrC8q,,41,35073
4fzrXBdIwhgk8dqWiBzhpx,vinahouse,29,709
3cf8lN2hoLcagzb4mkhZRF,psytrance,0,5
5Tat6kQnCUqmVtKiB7QU6F,,23,122
39UtqfQIM0IUPSGX1MpEAt,,0,2
6AelNJV2eBg9B3gxfvBNFF,,38,50282
329HQjjxOGAXkAHKkkbdqv,drum and bass|jungle,2,270
1MtEHfgLiPazbn8fZUVAHl,vinahouse|vietnamese lo-fi|v-pop,13,344
2ppYn3eA2gFGr57VccN6rS,,5,46
7wGnvmHuWqIhczXjh1PdtU,,34,11156
7DSbFoeSH8Q0JahSwax20N,vinahouse,35,2625
7wTkJ693mD4D1CkVrl1mwP,,28,4
6JbqmE8gzN29E6hIJOa08z,,0,0
34ESFFvfP5f465MC2V6E64,cloud rap,40,28676
3gYaIiSfngpqMSEmREEXPv,,34,40
7os1UVlIK50EAaP990Z8aE,vocaloid,47,54394
1HcAkAeL4xf02wzAnl7mIV,soca,54,55415
4JWt9oSSKxYYOayFDlJexl,,18,3177
3C6wmSgnZuqxVQyBWujBsn,,55,115481
5QbDgpkghCaWjJywjbJnoG,vinahouse|vietnamese lo-fi|v-pop|lo-fi,43,50379
1Qp56T7n950O3EGMsSl81D,metal|hard rock,79,3592292
08xn7sYY4KworP8Vc3GoiU,vinahouse|vietnamese lo-fi|v-pop|lo-fi,57,571529
39eJFvfRccrkymEmChAPRK,,1,88
4R3mugkUqCALXgkwSptTbg,v-pop|vietnamese hip hop|vinahouse,53,521451
3HphLd0XiELTvIPYf55dYC,deep house|slap house,61,559987
3h8Yh3GUF3Slpm7tb1Euk6,vinahouse,33,3931
1W2pigH6UYwuTuFbwoSfVZ,v-pop|vietnamese hip hop,64,582720
